granularity,timestamp_ist,temperature_c,feels_like_c,wind_speed_mps,wind_direction_deg,cloud_cover_pct,solar_irradiance_wm2,snowfall_mm,precipitation_mm,humidity_pct,pressure_hpa,solar_kw,wind_kw,hydropower_kw,geothermal_kw,marine_energy_kw,biomass_biogas_kw,solar_thermal_kw,h2_kw,battery_kwh,diesel_kw,chp_kw,demand_kw
minute,2026-09-10T09:20:21.185800+05:30,-15.4,-16.9,10.2,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:21:21.185800+05:30,-15.4,-18.4,10.2,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:22:21.185800+05:30,-15.5,-19.3,10.1,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:23:21.185800+05:30,-15.4,-19.0,10.1,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:24:21.185800+05:30,-15.4,-19.0,10.2,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:25:21.185800+05:30,-15.3,-16.5,10.0,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:26:21.185800+05:30,-15.4,-17.4,10.1,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:27:21.185800+05:30,-15.4,-19.0,10.2,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:28:21.185800+05:30,-15.4,-16.4,10.1,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:29:21.185800+05:30,-15.3,-17.4,10.2,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:30:21.185800+05:30,-15.4,-17.0,10.1,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:31:21.185800+05:30,-15.4,-16.5,10.1,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:32:21.185800+05:30,-15.4,-17.7,10.2,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:33:21.185800+05:30,-15.4,-18.3,10.1,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:34:21.185800+05:30,-15.4,-18.2,10.1,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:35:21.185800+05:30,-15.3,-16.6,10.1,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:36:21.185800+05:30,-15.4,-16.4,10.0,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:37:21.185800+05:30,-15.3,-16.4,10.1,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
minute,2026-09-10T09:38:21.185800+05:30,-15.5,-19.2,10.1,181.5,55.7,40.5,0.0,0,77.5,1010.0,4.47,237.91,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,189.03
