granularity,timestamp_ist,temperature_c,feels_like_c,wind_speed_mps,wind_direction_deg,cloud_cover_pct,solar_irradiance_wm2,snowfall_mm,precipitation_mm,humidity_pct,pressure_hpa,solar_kw,wind_kw,hydropower_kw,geothermal_kw,marine_energy_kw,biomass_biogas_kw,solar_thermal_kw,h2_kw,battery_kwh,diesel_kw,chp_kw,demand_kw
hour,2026-09-09T10:00:00+05:30,-18.3,-21.8,11.9,60.3,57.3,38.7,0.0,0,79.7,1008.7,6.6,298.17,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,203.22
hour,2026-09-09T11:00:00+05:30,-15.2,-16.5,10.2,60.3,58.6,57.5,0.0,0,79.7,1008.7,2.29,235.01,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,201.34
hour,2026-09-09T12:00:00+05:30,-15.9,-18.0,10.2,60.3,53.0,128.4,0.0,0,79.7,1008.7,21.74,233.38,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,191.85
hour,2026-09-09T13:00:00+05:30,-17.3,-20.4,2.6,60.3,34.9,68.9,0.0,0,79.7,1008.7,11.01,0.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,204.48
hour,2026-09-09T14:00:00+05:30,-17.8,-19.9,8.2,60.3,33.0,76.2,0.0,0,79.7,1008.7,11.31,176.18,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,217.6
hour,2026-09-09T15:00:00+05:30,-16.3,-20.2,0.0,60.3,32.2,18.6,0.0,0,79.7,1008.7,8.01,0.0,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,185.64
hour,2026-09-09T16:00:00+05:30,-18.8,-22.4,5.8,60.3,36.3,0.0,0.0,0,79.7,1008.7,1.61,92.3,90.0,95.0,50.0,55.0,30.0,50.0,1600.0,100.0,60.0,210.11
hour,2026-09-09T17:00:00+05:30,-17.4,-20.0,4.6,60.3,43.9,0.0,0.0,0,79.7,1008.7,0.0,53.47,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,200.58
hour,2026-09-09T18:00:00+05:30,-17.5,-21.3,0.0,60.3,26.6,18.4,0.0,0,79.7,1008.7,0.0,0.0,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,188.43
hour,2026-09-09T19:00:00+05:30,-21.8,-25.3,2.0,60.3,10.6,0.0,0.0,0,79.7,1008.7,0.0,0.0,90.0,95.0,50.0,55.0,0.0,50.0,1600.0,100.0,60.0,196.76
