timestamp,temperature_c,humidity_pct,wind_speed_mps,wind_direction_deg,solar_irradiance_wm2,solar_status,wind_status,solar_generation_kw,wind_generation_kw,energy_demand_kw,battery_soc_pct,generator_status,n_seconds,solar_energy_kwh,wind_energy_kwh
2026-03-01 00:00:00,-13.1,66.48,11.0,179.5,0.0,ONLINE,ONLINE,0.0,87.4026,297.12,72.57,AVAILABLE,3600,0.0,87.4026
2026-03-01 01:00:00,-11.25,66.69,11.04,178.54,0.0,ONLINE,ONLINE,0.0,87.2482,291.29,72.55,AVAILABLE,3600,0.0,87.2482
2026-03-01 02:00:00,-9.41,66.58,11.01,179.71,0.0,ONLINE,ONLINE,0.0,87.2241,285.4,72.37,AVAILABLE,3600,0.0,87.2241
2026-03-01 03:00:00,-7.58,66.34,11.0,179.45,0.0,ONLINE,ONLINE,0.0,87.0729,279.43,72.61,AVAILABLE,3600,0.0,87.0729
2026-03-01 04:00:00,-5.72,66.41,10.98,180.27,0.0,ONLINE,ONLINE,0.0,87.1101,273.73,72.55,AVAILABLE,3600,0.0,87.1101
2026-03-01 05:00:00,-3.91,66.6,11.0,184.91,0.0,ONLINE,ONLINE,0.0,86.7657,268.01,72.49,AVAILABLE,3600,0.0,86.7657
2026-03-01 06:00:00,-2.07,66.44,11.01,178.84,141.63,ONLINE,ONLINE,1.4024,86.8749,262.0,72.67,AVAILABLE,3600,1.4024,86.8749
2026-03-01 07:00:00,-0.26,66.52,11.02,178.69,391.64,ONLINE,ONLINE,3.8697,87.3864,256.34,72.41,AVAILABLE,3600,3.8697,87.3864
2026-03-01 08:00:00,1.59,66.47,10.99,178.77,591.64,ONLINE,ONLINE,5.8688,87.14,250.37,72.26,AVAILABLE,3600,5.8688,87.14
2026-03-01 09:00:00,3.42,66.28,10.97,177.78,741.65,ONLINE,ONLINE,7.3375,87.1038,244.53,72.75,AVAILABLE,3600,7.3375,87.1038
2026-03-01 10:00:00,5.26,66.44,11.0,177.63,841.66,ONLINE,ONLINE,8.3418,87.3051,238.69,72.25,AVAILABLE,3600,8.3418,87.3051
2026-03-01 11:00:00,7.07,66.54,11.03,177.79,891.66,ONLINE,ONLINE,8.8323,87.2509,232.9,72.71,AVAILABLE,3600,8.8323,87.2509
2026-03-01 12:00:00,7.09,66.76,11.01,181.95,891.67,ONLINE,ONLINE,8.8006,87.0302,232.88,72.49,AVAILABLE,3600,8.8006,87.0302
2026-03-01 13:00:00,5.24,66.42,10.97,179.75,841.68,ONLINE,ONLINE,8.3403,87.0379,238.62,72.79,AVAILABLE,3600,8.3403,87.0379
2026-03-01 14:00:00,3.42,66.36,11.03,180.63,741.68,ONLINE,ONLINE,7.3307,87.5366,244.48,72.35,AVAILABLE,3600,7.3307,87.5366
2026-03-01 15:00:00,1.59,66.35,10.97,178.17,591.69,ONLINE,ONLINE,5.8742,86.7317,250.39,72.77,AVAILABLE,3600,5.8742,86.7317
2026-03-01 16:00:00,-0.27,66.37,11.03,181.95,391.7,ONLINE,ONLINE,3.8798,87.4837,256.31,72.34,AVAILABLE,3600,3.8798,87.4837
2026-03-01 17:00:00,-2.07,66.3,11.0,179.74,141.7,ONLINE,ONLINE,1.4028,87.339,262.17,72.53,AVAILABLE,3600,1.4028,87.339
2026-03-01 18:00:00,-3.92,66.7,10.99,180.23,0.0,ONLINE,ONLINE,0.0,87.007,267.98,72.51,AVAILABLE,3600,0.0,87.007
2026-03-01 19:00:00,-5.74,66.59,11.01,179.97,0.0,ONLINE,ONLINE,0.0,86.9848,273.81,72.47,AVAILABLE,3600,0.0,86.9848
2026-03-01 20:00:00,-7.58,66.48,11.0,181.45,0.0,ONLINE,ONLINE,0.0,87.0718,279.63,72.75,AVAILABLE,3600,0.0,87.0718
2026-03-01 21:00:00,-9.4,66.4,10.97,181.89,0.0,ONLINE,ONLINE,0.0,86.9074,285.45,72.35,AVAILABLE,3600,0.0,86.9074
2026-03-01 22:00:00,-11.23,66.32,11.03,177.2,0.0,ONLINE,ONLINE,0.0,87.4291,291.25,72.66,AVAILABLE,3600,0.0,87.4291
2026-03-01 23:00:00,-13.06,66.99,10.94,179.07,0.0,ONLINE,ONLINE,0.0,86.5128,297.12,72.6,AVAILABLE,3600,0.0,86.5128
