timestamp,temperature_c,humidity_pct,wind_speed_mps,wind_direction_deg,solar_irradiance_wm2,solar_status,wind_status,solar_generation_kw,wind_generation_kw,energy_demand_kw,battery_soc_pct,generator_status,n_seconds,solar_energy_kwh,wind_energy_kwh
2026-03-01 00:00:00,-14.08,64.76,11.1,181.75,0.0,ONLINE,ONLINE,0.0,88.8088,299.74,69.88,AVAILABLE,60,0.0,1.4801
2026-03-01 00:01:00,-14.2,64.81,10.79,179.72,0.0,ONLINE,ONLINE,0.0,84.9416,300.32,70.02,AVAILABLE,60,0.0,1.4157
2026-03-01 00:02:00,-13.94,66.23,11.12,205.84,0.0,ONLINE,ONLINE,0.0,88.9395,300.73,70.63,AVAILABLE,60,0.0,1.4823
2026-03-01 00:03:00,-13.85,66.61,10.73,183.99,0.0,ONLINE,ONLINE,0.0,85.8253,301.23,71.05,AVAILABLE,60,0.0,1.4304
2026-03-01 00:04:00,-13.77,64.68,10.69,170.8,0.0,ONLINE,ONLINE,0.0,85.5132,299.27,71.45,AVAILABLE,60,0.0,1.4252
2026-03-01 00:05:00,-13.71,65.89,11.02,181.88,0.0,ONLINE,ONLINE,0.0,88.1774,298.98,71.43,AVAILABLE,60,0.0,1.4696
2026-03-01 00:06:00,-13.92,64.78,11.43,184.75,0.0,ONLINE,ONLINE,0.0,91.4211,300.01,74.7,AVAILABLE,60,0.0,1.5237
2026-03-01 00:07:00,-13.73,65.31,10.97,196.83,0.0,ONLINE,ONLINE,0.0,86.5819,299.37,69.61,AVAILABLE,60,0.0,1.443
2026-03-01 00:08:00,-13.53,67.59,10.91,186.09,0.0,ONLINE,ONLINE,0.0,87.3074,298.62,71.75,AVAILABLE,60,0.0,1.4551
2026-03-01 00:09:00,-13.82,67.67,10.87,193.82,0.0,ONLINE,ONLINE,0.0,85.5627,299.4,72.84,AVAILABLE,60,0.0,1.426
2026-03-01 00:10:00,-13.58,64.34,10.58,191.93,0.0,ONLINE,ONLINE,0.0,84.64,298.62,74.89,AVAILABLE,60,0.0,1.4107
2026-03-01 00:11:00,-13.43,67.51,11.27,169.0,0.0,ONLINE,ONLINE,0.0,90.1958,298.79,73.8,AVAILABLE,60,0.0,1.5033
2026-03-01 00:12:00,-13.56,63.23,10.66,171.56,0.0,ONLINE,ONLINE,0.0,85.3109,298.93,73.34,AVAILABLE,60,0.0,1.4218
2026-03-01 00:13:00,-13.7,65.2,11.17,171.91,0.0,ONLINE,ONLINE,0.0,89.3662,297.99,71.71,AVAILABLE,60,0.0,1.4894
2026-03-01 00:14:00,-13.6,64.94,11.1,179.17,0.0,ONLINE,ONLINE,0.0,87.3114,298.36,73.05,AVAILABLE,60,0.0,1.4552
2026-03-01 00:15:00,-13.36,65.89,11.06,189.51,0.0,ONLINE,ONLINE,0.0,86.6714,298.07,71.82,AVAILABLE,60,0.0,1.4445
2026-03-01 00:16:00,-13.53,69.95,11.22,168.72,0.0,ONLINE,ONLINE,0.0,89.7406,299.25,74.33,AVAILABLE,60,0.0,1.4957
2026-03-01 00:17:00,-13.57,66.54,11.14,177.38,0.0,ONLINE,ONLINE,0.0,89.1141,298.59,73.11,AVAILABLE,60,0.0,1.4852
2026-03-01 00:18:00,-13.36,68.53,11.13,200.2,0.0,ONLINE,ONLINE,0.0,87.338,297.83,72.0,AVAILABLE,60,0.0,1.4556
