timestamp,temperature_c,humidity_pct,wind_speed_mps,wind_direction_deg,solar_irradiance_wm2,solar_status,wind_status,solar_generation_kw,wind_generation_kw,energy_demand_kw,battery_soc_pct,generator_status
2026-03-01 00:00:00,-13.55,47.5,8.43,192.9,0.0,ONLINE,ONLINE,0.0,67.4769,297.851,72.8,UNAVAILABLE
2026-03-01 00:00:01,-15.23,54.6,10.55,297.7,0.0,ONLINE,ONLINE,0.0,84.3769,293.979,77.0,AVAILABLE
2026-03-01 00:00:02,-12.57,51.2,8.28,309.0,0.0,ONLINE,ONLINE,0.0,66.236,296.631,59.1,AVAILABLE
2026-03-01 00:00:03,-13.75,47.7,11.83,134.1,0.0,ONLINE,ONLINE,0.0,94.6678,300.759,57.1,AVAILABLE
2026-03-01 00:00:04,-14.56,79.2,11.51,163.1,0.0,ONLINE,ONLINE,0.0,92.107,296.79,79.5,AVAILABLE
2026-03-01 00:00:05,-12.87,50.1,12.38,103.7,0.0,ONLINE,ONLINE,0.0,99.0134,307.675,69.6,AVAILABLE
2026-03-01 00:00:06,-15.38,82.6,12.01,275.2,0.0,ONLINE,ONLINE,0.0,96.0744,301.159,66.0,AVAILABLE
2026-03-01 00:00:07,-14.13,73.6,13.04,340.1,0.0,ONLINE,ONLINE,0.0,104.3185,299.574,57.1,AVAILABLE
2026-03-01 00:00:08,-13.03,46.0,9.71,138.9,0.0,ONLINE,ONLINE,0.0,77.6606,302.685,71.2,AVAILABLE
2026-03-01 00:00:09,-13.19,82.5,8.78,89.1,0.0,ONLINE,ONLINE,0.0,70.2083,298.241,57.8,AVAILABLE
2026-03-01 00:00:10,-13.04,60.4,13.18,100.2,0.0,ONLINE,ONLINE,0.0,105.4713,298.629,85.9,AVAILABLE
2026-03-01 00:00:11,-14.8,56.3,9.4,174.6,0.0,ONLINE,ONLINE,0.0,75.2001,301.408,55.1,AVAILABLE
2026-03-01 00:00:12,-12.63,74.1,12.14,185.6,0.0,ONLINE,ONLINE,0.0,97.1437,301.862,56.9,AVAILABLE
2026-03-01 00:00:13,-13.1,72.3,10.35,143.6,0.0,ONLINE,ONLINE,0.0,82.8342,293.636,57.2,AVAILABLE
2026-03-01 00:00:14,-14.47,49.4,8.32,0.1,0.0,ONLINE,ONLINE,0.0,66.5236,294.398,67.7,UNAVAILABLE
2026-03-01 00:00:15,-15.05,50.3,9.51,125.1,0.0,ONLINE,ONLINE,0.0,76.1084,297.802,84.7,AVAILABLE
2026-03-01 00:00:16,-15.23,80.6,8.61,123.3,0.0,ONLINE,ONLINE,0.0,68.905,296.21,60.7,UNAVAILABLE
2026-03-01 00:00:17,-15.05,87.1,11.26,9.7,0.0,ONLINE,ONLINE,0.0,90.0723,300.422,85.2,AVAILABLE
2026-03-01 00:00:18,-14.99,59.2,12.63,191.7,0.0,ONLINE,ONLINE,0.0,101.053,304.436,62.8,AVAILABLE
2026-03-01 00:00:19,-13.07,67.3,12.91,266.4,0.0,ONLINE,ONLINE,0.0,103.28,295.597,67.4,UNAVAILABLE
2026-03-01 00:00:20,-14.71,85.3,12.16,344.3,0.0,ONLINE,ONLINE,0.0,97.2411,299.123,89.6,AVAILABLE
2026-03-01 00:00:21,-14.81,83.7,9.18,73.6,0.0,ONLINE,ONLINE,0.0,73.4419,301.951,84.4,AVAILABLE
2026-03-01 00:00:22,-15.23,77.3,11.96,327.5,0.0,ONLINE,ONLINE,0.0,95.7081,304.481,71.7,AVAILABLE
2026-03-01 00:00:23,-13.09,85.7,13.83,142.5,0.0,ONLINE,ONLINE,0.0,110.6395,298.385,80.4,AVAILABLE
2026-03-01 00:00:24,-12.77,87.2,12.84,52.6,0.0,ONLINE,ONLINE,0.0,102.7121,305.185,78.0,AVAILABLE
2026-03-01 00:00:25,-15.44,85.1,13.83,233.9,0.0,ONLINE,ONLINE,0.0,110.6027,300.385,70.2,AVAILABLE
2026-03-01 00:00:26,-14.73,56.2,9.76,86.6,0.0,ONLINE,ONLINE,0.0,78.0624,301.341,69.7,AVAILABLE
2026-03-01 00:00:27,-14.11,84.5,11.5,325.5,0.0,ONLINE,ONLINE,0.0,92.0007,298.686,72.6,AVAILABLE
2026-03-01 00:00:28,-14.17,52.4,9.1,1.4,0.0,ONLINE,ONLINE,0.0,72.7892,304.741,71.6,AVAILABLE
2026-03-01 00:00:29,-13.93,69.1,11.33,282.3,0.0,ONLINE,ONLINE,0.0,90.6612,293.651,63.7,AVAILABLE
2026-03-01 00:00:30,-13.8,71.3,12.56,328.5,0.0,ONLINE,ONLINE,0.0,100.4797,299.043,72.7,AVAILABLE
2026-03-01 00:00:31,-13.88,82.7,10.87,338.9,0.0,ONLINE,ONLINE,0.0,86.9457,303.137,88.0,AVAILABLE
2026-03-01 00:00:32,-12.96,48.1,8.82,43.8,0.0,ONLINE,ONLINE,0.0,70.5825,299.022,63.4,AVAILABLE
2026-03-01 00:00:33,-12.79,51.1,8.93,257.8,0.0,ONLINE,ONLINE,0.0,71.4134,302.511,85.9,AVAILABLE
2026-03-01 00:00:34,-14.29,51.9,10.92,356.4,0.0,ONLINE,ONLINE,0.0,87.3885,305.264,70.1,AVAILABLE
2026-03-01 00:00:35,-14.53,63.9,12.33,7.0,0.0,ONLINE,ONLINE,0.0,98.6632,300.808,55.6,AVAILABLE
2026-03-01 00:00:36,-15.29,49.5,13.91,283.8,0.0,ONLINE,ONLINE,0.0,111.284,307.489,64.3,UNAVAILABLE
2026-03-01 00:00:37,-15.09,56.1,10.53,328.1,0.0,ONLINE,ONLINE,0.0,84.2682,305.044,60.2,AVAILABLE
2026-03-01 00:00:38,-15.21,48.1,8.35,247.8,0.0,ONLINE,ONLINE,0.0,66.7613,298.743,87.8,AVAILABLE
2026-03-01 00:00:39,-12.91,59.6,8.4,310.6,0.0,ONLINE,ONLINE,0.0,67.1979,299.197,74.4,AVAILABLE
2026-03-01 00:00:40,-13.9,47.2,9.43,39.4,0.0,ONLINE,ONLINE,0.0,75.4449,294.518,62.1,AVAILABLE
2026-03-01 00:00:41,-14.61,45.8,11.0,64.0,0.0,ONLINE,ONLINE,0.0,88.0043,297.486,63.8,UNAVAILABLE
2026-03-01 00:00:42,-14.91,80.2,10.85,336.5,0.0,ONLINE,ONLINE,0.0,86.7885,293.632,70.1,AVAILABLE
2026-03-01 00:00:43,-13.96,80.8,12.13,353.7,0.0,ONLINE,ONLINE,0.0,97.0116,297.414,79.7,AVAILABLE
2026-03-01 00:00:44,-15.31,56.0,8.78,25.5,0.0,ONLINE,ONLINE,0.0,70.2313,303.783,60.7,AVAILABLE
2026-03-01 00:00:45,-13.47,64.8,9.69,87.2,0.0,ONLINE,ONLINE,0.0,77.5328,296.616,60.5,AVAILABLE
